熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,熱點緯度(Latitude),熱點經度(Longitude)
tainan熱點,白河區公所,行政機關,102,白河區,永安里,732臺南市白河區永安里三民路381號,23.3512886,120.415752
tainan熱點,白河區衛生所,行政機關,103,白河區,永安里,732臺南市白河區永安里國光路5號,23.352012,120.415777
tainan熱點,安平區公所,行政機關,102,安平區,平通里,708臺南市安平區平通里育平路316號,22.994534,120.1688343
tainan熱點,安平區衛生所,行政機關,103,安平區,平通里,708臺南市安平區平通里育平路310號,22.9943652,120.1682577
tainan熱點,安定區公所,行政機關,102,安定區,安定里,745臺南市安定區安定里59號,23.1230549,120.2443251
tainan熱點,安定區衛生所,行政機關,103,安定區,安定里,745臺南市安定區安定里安定59-1號,23.1230549,120.2443251
tainan熱點,安南區公所,行政機關,102,安南區,溪心里,709臺南市安南區溪心里安中路二段308號,23.0472321,120.184714
tainan熱點,安南區衛生所,行政機關,103,安南區,淵東里,709臺南市安南區淵東里仁安路70號,23.0498419,120.1757919
tainan熱點,安南稅務分局,行政機關,103,安南區,溪心里,709臺南市安南區溪心里安中路三段139號,23.0476213,120.180795
tainan熱點,西港區公所,行政機關,102,西港區,西港里,723臺南市西港區西港里文化路1號,23.1249469,120.2076403
tainan熱點,西港區衛生所,行政機關,103,西港區,西港里,722臺南市西港區西港里中山路368號,23.1623059,120.176793
tainan熱點,佳里區公所,行政機關,102,佳里區,六安里,722臺南市佳里區六安里忠孝路5號,23.1652557,120.1770403
tainan熱點,佳里區衛生所,行政機關,103,佳里區,東寧里,722臺南市佳里區東寧里進學路159號,23.1635269,120.177701
tainan熱點,佳里稅務分局,行政機關,103,佳里區,六安里,722臺南市佳里區六安里忠孝路25號,23.1653583,120.1757867
tainan熱點,官田區公所,行政機關,102,官田區,隆田里,720臺南市官田區隆田里中山路一段132號,23.1928387,120.3158307
tainan熱點,官田區衛生所,行政機關,103,官田區,隆田里,720臺南市官田區隆田里中山路1段128號,23.1928272,120.3162812
tainan熱點,東山區公所,行政機關,102,東山區,東山里,733臺南市東山區東山里225號,23.3263299,120.4039659
tainan熱點,東山區衛生所,行政機關,103,東山區,東山里,733臺南市東山區東山里236號,23.3263299,120.4039659
tainan熱點,東區區公所,行政機關,102,東區,崇信里,701臺南市東區崇信里崇學路100號,22.9802421,120.224004
tainan熱點,東區衛生所,行政機關,103,東區,龍山里,701臺南市東區龍山里林森路一段418號,22.9849348,120.2219427
tainan熱點,南化區公所,行政機關,102,南化區,南化里,716臺南市南化區南化里230號,23.0426147,120.478965
tainan熱點,南化區衛生所,行政機關,103,南化區,南化里,716臺南市南化區南化里226-1號,23.0452909,120.4799909
tainan熱點,南區區公所,行政機關,102,南區,南都里,702臺南市南區南都里明興路2號,22.9611651,120.1887336
tainan熱點,南區衛生所,行政機關,103,南區,南都里,702臺南市南區南都里南和路6號,22.9606621,120.187913
tainan熱點,後壁區公所,行政機關,102,後壁區,後壁里,731臺南市後壁區後壁里6鄰129號,23.3632139,120.3579632
tainan熱點,後壁區衛生所,行政機關,103,後壁區,後壁里,731臺南市後壁區後壁里3號,23.367781,120.363133
tainan熱點,柳營區公所,行政機關,102,柳營區,士林里,736臺南市柳營區士林里柳營路二段59號,23.2774169,120.3123024
tainan熱點,柳營區衛生所,行政機關,103,柳營區,士林里,736臺南市柳營區士林里54-5號,23.2754352,120.3103958
tainan熱點,將軍區公所,行政機關,102,將軍區,忠興里,725臺南市將軍區忠興里190號,23.2018481,120.1632603
tainan熱點,將軍區衛生所,行政機關,103,將軍區,忠興里,725臺南市將軍區忠興里忠興185-6號,23.2012987,120.1604907
tainan熱點,麻豆區公所,行政機關,102,麻豆區,東角里,721臺南市麻豆區東角里忠孝路250號,23.1849466,120.2584452
tainan熱點,麻豆區衛生所,行政機關,103,麻豆區,巷口里,721臺南市麻豆區巷口里興國路11-1號,23.1826449,120.248478
tainan熱點,善化區公所,行政機關,102,善化區,光文里,741臺南市善化區光文里建國路190號,23.1323923,120.2967412
tainan熱點,善化區衛生所,行政機關,103,善化區,光文里,741臺南市善化區光文里三民路16號,23.1285173,120.2867935
tainan熱點,新化區公所,行政機關,102,新化區,護國里,712臺南市新化區護國里中山路130號,23.0373346,120.310462
tainan熱點,新化區衛生所,行政機關,103,新化區,豐榮里,712臺南市新化區豐榮里健康路143號,23.0344536,120.3049202
tainan熱點,新化稅務分局,行政機關,103,新化區,太平里,712臺南市新化區太平里中正路586號,23.0420196,120.3057698
tainan熱點,新市區公所,行政機關,102,新市區,新市里,744臺南市新市區新市里中興街12號,23.0781138,120.2937125
tainan熱點,新市區衛生所,行政機關,103,新市區,新市里,744臺南市新市區新市里中興街12號,23.0781138,120.2937125
tainan熱點,新營區公所,行政機關,102,新營區,大宏里,730臺南市新營區大宏里中正路30號,23.3102765,120.316576
tainan熱點,新營區衛生所,行政機關,103,新營區,大宏里,730臺南市新營區大宏里三民路72號,23.307466,120.317153
tainan熱點,楠西區公所,行政機關,102,楠西區,楠西里,715臺南市楠西區楠西里中正路230號,23.1760554,120.4850329
tainan熱點,楠西區衛生所,行政機關,103,楠西區,楠西里,715臺南市楠西區楠西里中正路226號,23.1744224,120.4863955
tainan熱點,臺南市立仁愛之家,行政機關,103,安南區,州南里,709臺南市安南區州南里長和路二段36號,23.0638506,120.2216989
tainan熱點,臺南市政府民治市政中心,行政機關,99,新營區,忠政里,730臺南市新營區忠政里民治路36號,23.3115468,120.3147263
tainan熱點,臺南市政府永華市政中心,行政機關,99,安平區,建平里,708臺南市安平區建平里永華路二段6號,22.9917228,120.1849971
